Position,Track Name,Artist,Streams,URL,date
54,Panda,Desiigner,2064963,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,1/1/17
55,Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy,2007331,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF,1/1/17
56,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1995424,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,1/1/17
57,Work,Rihanna,1969886,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,1/1/17
58,Now and Later,Sage The Gemini,1951897,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd,1/1/17
59,Low Life (feat. The Weeknd),Future,1896260,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX,1/1/17
60,Cheap Thrills,Sia,1895573,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,1/1/17
61,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,1894425,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB,1/1/17
62,Used to This (feat. Drake),Future,1890971,https://open.spotify.com/track/78sr3ogs4UzITcCNbXM9cM,1/1/17
63,Into You,Ariana Grande,1874910,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0,1/1/17
64,Chantaje (feat. Maluma),Shakira,1860023,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/1/17
65,Ride,Twenty One Pilots,1859241,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,1/1/17
66,All Night,The Vamps,1845885,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,1/1/17
67,Love On The Brain,Rihanna,1843366,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02,1/1/17
68,goosebumps,Travis Scott,1833069,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,1/1/17
69,Reminder,The Weeknd,1829110,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI,1/1/17
70,Weak,AJR,1823119,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,1/1/17
71,This Is What You Came For (feat. Rihanna),Calvin Harris,1820016,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,1/1/17
72,No Role Modelz,J. Cole,1814343,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8,1/1/17
73,Jumpman,Drake,1813853,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ,1/1/17
74,Make Me (Cry),Noah Cyrus,1788273,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP,1/1/17
75,Money Longer,Lil Uzi Vert,1767920,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ,1/1/17
76,Change,J. Cole,1739684,https://open.spotify.com/track/3pjUyVbFmM96tYhSaKJwTt,1/1/17
77,"i hate u, i love u (feat. olivia o'brien)",gnash,1710840,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe,1/1/17
78,Too Many Years,Kodak Black,1706940,https://open.spotify.com/track/0BU7nIcCZxYSE0hYcc5oZz,1/1/17
79,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,1705908,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu,1/1/17
80,Die For You,The Weeknd,1689769,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,1/1/17
81,The Mack,Nevada,1684361,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,1/1/17
82,Sunset Lover,Petit Biscuit,1676121,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,1/1/17
83,Don't,Bryson Tiller,1652261,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC,1/1/17
84,Never Be Like You,Flume,1651935,https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr,1/1/17
85,White Iverson,Post Malone,1651702,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w,1/1/17
86,Selfish,PnB Rock,1649780,https://open.spotify.com/track/2xbI8Vmyv3TkpTdywpPyNw,1/1/17
87,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,1629704,https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd,1/1/17
88,Erase Your Social,Lil Uzi Vert,1617327,https://open.spotify.com/track/4uhvMW7ly7tJil31YYscAN,1/1/17
89,Exchange,Bryson Tiller,1612036,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN,1/1/17
90,Water,Ugly God,1605966,https://open.spotify.com/track/6HEIBHUirx1J0JkUD24szt,1/1/17
91,Come and See Me (feat. Drake),PARTYNEXTDOOR,1603648,https://open.spotify.com/track/1wZqJM5FGDEl3FjHDxDyQd,1/1/17
92,Stressed Out,Twenty One Pilots,1588712,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,1/1/17
93,Moves,Big Sean,1577217,https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS,1/1/17
94,Water Under the Bridge,Adele,1570560,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,1/1/17
95,Congratulations,Post Malone,1565952,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,1/1/17
96,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,1555996,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,1/1/17
97,Light,San Holo,1539741,https://open.spotify.com/track/7zTx8ePYAmPFQuxP3xlXZn,1/1/17
98,Setting Fires,The Chainsmokers,1534937,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s,1/1/17
99,One Night,Lil Yachty,1526899,https://open.spotify.com/track/40yJGQyEaBbIkXpwMFkXip,1/1/17
100,Too Much Sauce (feat. Future & Lil Uzi Vert),DJ ESCO,1523264,https://open.spotify.com/track/5oyUurs28XRagLa8lgm6V3,1/1/17
101,All Time Low,Jon Bellion,1508954,https://open.spotify.com/track/5wQRNkb7OhzJoT1P0OZ4Rw,1/1/17
102,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1506973,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,1/1/17
103,"Me, Myself & I",G-Eazy,1499613,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC,1/1/17
104,Love Yourself,Justin Bieber,1492066,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,1/1/17
105,No Flockin',Kodak Black,1486114,https://open.spotify.com/track/34oWbFBfGEElvgO0a5c9V4,1/1/17
106,Send My Love (To Your New Lover),Adele,1458924,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb,1/1/17
107,Lot to Learn,Luke Christopher,1457330,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW,1/1/17
108,Deja Vu,Post Malone,1449709,https://open.spotify.com/track/0H8XeaJunhvpBdBFIYi6Sh,1/1/17
109,I Would Like,Zara Larsson,1443086,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,1/1/17
110,Litty (feat. Tory Lanez),Meek Mill,1428281,https://open.spotify.com/track/5J5PXmMdQ2nh1lZOal8KmK,1/1/17
111,That's What I Like,Bruno Mars,1426314,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,1/1/17
112,True Colors,The Weeknd,1392501,https://open.spotify.com/track/6i759FCuKx713ZnYjtpQGU,1/1/17
113,Gold,Kiiara,1392159,https://open.spotify.com/track/6WhzFzROw3aq3rPWjgYlxr,1/1/17
114,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,1370282,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA,1/1/17
115,Father Stretch My Hands Pt. 1,Kanye West,1359209,https://open.spotify.com/track/4KW1lqgSr8TKrvBII0Brf8,1/1/17
116,Secrets,The Weeknd,1357574,https://open.spotify.com/track/3DX4Y0egvc0slLcLl31h2p,1/1/17
117,Lighthouse - Andrelli Remix,Hearts & Colors,1346814,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo,1/1/17
118,This Town,Niall Horan,1337852,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7,1/1/17
119,I Got You,Bebe Rexha,1324870,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i,1/1/17
120,Gassed Up,Nebu Kiniza,1316848,https://open.spotify.com/track/6JjEVlMkfHWMeYavkEYzNO,1/1/17
121,The Hills,The Weeknd,1314904,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,1/1/17
122,Shed a Light,Robin Schulz,1314763,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,1/1/17
123,Pop Style,Drake,1308555,https://open.spotify.com/track/1WRy5l3TwrwlzNmB5bOeKw,1/1/17
124,PILLOWTALK,ZAYN,1302358,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1,1/1/17
125,Rockin’,The Weeknd,1292313,https://open.spotify.com/track/36YCdzT57us0LhDmCYtrNE,1/1/17
126,Living Single,Big Sean,1289108,https://open.spotify.com/track/36xxq7VDZZsGwARsn6Clo7,1/1/17
127,By Your Side,Jonas Blue,1272787,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,1/1/17
128,Roses (feat. ROZES),The Chainsmokers,1271131,https://open.spotify.com/track/6O6M7pJLABmfBRoGZMu76Y,1/1/17
129,Not Going Home (feat. Gia Koka),DVBBS,1252783,https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61,1/1/17
130,My Shit,A Boogie Wit da Hoodie,1250894,https://open.spotify.com/track/5uQOauh47VFt3B2kV9kRXw,1/1/17
131,Both (feat. Drake),Gucci Mane,1244566,https://open.spotify.com/track/5tFep7dXGd7vEJ668wTPux,1/1/17
132,She's Mine Pt. 1,J. Cole,1239589,https://open.spotify.com/track/0HtOJj7Kl74s1Ngf3MWeif,1/1/17
133,What They Want,Russ,1236441,https://open.spotify.com/track/3pndPhlQWjuSoXhcIIdBjv,1/1/17
134,7 Years,Lukas Graham,1231010,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L,1/1/17
135,Capsize,FRENSHIP,1223974,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco,1/1/17
136,Timeless (feat. DJ SPINKING),A Boogie Wit da Hoodie,1223119,https://open.spotify.com/track/0q5DrtpnnGpOvBy5nnPMbe,1/1/17
137,For Whom The Bell Tolls,J. Cole,1209823,https://open.spotify.com/track/3MWlVSkoLS1e66nlZ2tuWJ,1/1/17
138,Black Barbies,Nicki Minaj,1203632,https://open.spotify.com/track/3y9cCbnBn0zjkJa2YkOj70,1/1/17
139,Famous,Kanye West,1203339,https://open.spotify.com/track/19a3JfW8BQwqHWUMbcqSx8,1/1/17
140,Party (feat. Usher & Gucci Mane),Chris Brown,1203313,https://open.spotify.com/track/05Z7jet4VDNVgNQWcYHnrk,1/1/17
141,Let Me Explain,Bryson Tiller,1203303,https://open.spotify.com/track/1trZGMI2CGyVT44STkpCoN,1/1/17
142,Sorry,Justin Bieber,1200409,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,1/1/17
143,4 Your Eyez Only,J. Cole,1198722,https://open.spotify.com/track/1vvnYpYEMVB4aq9I6tHIEB,1/1/17
144,Cake By The Ocean,DNCE,1198196,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,1/1/17
145,Uber Everywhere,MadeinTYO,1196926,https://open.spotify.com/track/7zBPzAjKAqQpcv8F8GCq5s,1/1/17
146,Ville Mentality,J. Cole,1195946,https://open.spotify.com/track/2z3joGXrdGL2iEjIKQTiN1,1/1/17
147,Somebody Else,VÉRITÉ,1188181,https://open.spotify.com/track/34i4yxPrHWquuR4kjiivFO,1/1/17
148,You & Me,Marc E. Bassy,1180939,https://open.spotify.com/track/4QdovcM8j50QPlyR7tH4xe,1/1/17
149,Go Flex,Post Malone,1178420,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ,1/1/17
150,Say It (feat. Tove Lo),Flume,1176800,https://open.spotify.com/track/4sQMalN597HdggTu196aL0,1/1/17
151,Hotline Bling,Drake,1173442,https://open.spotify.com/track/2FBUoWkIuQXwayw2RNo5l6,1/1/17
152,My Way,Calvin Harris,1165966,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,1/1/17
153,Hymn for the Weekend - Seeb Remix,Coldplay,1161968,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,1/1/17
154,oui,Jeremih,1154979,https://open.spotify.com/track/0PJIbOdMs3bd5AT8liULMQ,1/1/17
155,Tiimmy Turner,Desiigner,1153514,https://open.spotify.com/track/3NJG6vMH1ZsectZkocMEm0,1/1/17
156,Still Here,Drake,1138947,https://open.spotify.com/track/433P7tDcIAi6NLnf4Sh6tI,1/1/17
157,Solo Dance,Martin Jensen,1135824,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,1/1/17
158,The Greatest (feat. Kendrick Lamar),Sia,1135516,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,1/1/17
159,All I Know,The Weeknd,1125001,https://open.spotify.com/track/0NWqNXBJTpXbkI5rPWNy3p,1/1/17
160,Good Drank,2 Chainz,1121693,https://open.spotify.com/track/39pS70eeDvyCAF3t8NAlVV,1/1/17
161,False Alarm,The Weeknd,1114937,https://open.spotify.com/track/32lgtADX2cB9I4KFs1Y1py,1/1/17
162,How Far I'll Go,Auli'i Cravalho,1106252,https://open.spotify.com/track/6mb6lVLNrcUgLnEN8QnDJd,1/1/17
163,Baptized In Fire,Kid Cudi,1104704,https://open.spotify.com/track/6WSBZroxQaO3FYEpT2ACFH,1/1/17
164,Wyclef Jean,Young Thug,1100950,https://open.spotify.com/track/55OdqrG8WLmsYyY1jijD9b,1/1/17
165,Blue Ain't Your Color,Keith Urban,1097211,https://open.spotify.com/track/6ZOPiKQeibCn7fP8dncucL,1/1/17
166,Do What I Want,Lil Uzi Vert,1088857,https://open.spotify.com/track/4IWGnyOHDrVZEtPWfs4s7q,1/1/17
167,Foldin Clothes,J. Cole,1084490,https://open.spotify.com/track/77IAeEz8LEchPN8UNjaTJ2,1/1/17
168,Attention,The Weeknd,1072547,https://open.spotify.com/track/6pDVjCUA3B1vg9waKutAsv,1/1/17
169,Hear Me Now,Alok,1069787,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,1/1/17
170,Oh Lord,MiC LOWRY,1062440,https://open.spotify.com/track/1sTUEdVO85YU8Ymk2jeAls,1/1/17
171,LUV,Tory Lanez,1055938,https://open.spotify.com/track/16Ah4QqH4mgYVXqfC4mdSd,1/1/17
172,Dynamite (feat. Pretty Sister),Nause,1044694,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg,1/1/17
173,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,1044681,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT,1/1/17
174,Ophelia,The Lumineers,1044290,https://open.spotify.com/track/7bTwYGhBdSQ8vuXc76Xint,1/1/17
175,My House,Flo Rida,1040529,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1,1/1/17
176,Really Really,Kevin Gates,1038557,https://open.spotify.com/track/10I3CmmwT0BkOVhduDy53o,1/1/17
177,Middle,DJ Snake,1037663,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,1/1/17
178,No Type,Rae Sremmurd,1034776,https://open.spotify.com/track/4scpF6J5uMBvoh6sFB7EL1,1/1/17
179,Antidote,Travis Scott,1030659,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq,1/1/17
180,Wake Up Where You Are,State of Sound,1029544,https://open.spotify.com/track/2s76aKBWKShlwPC4xTtEEE,1/1/17
181,'Till I Collapse,Eminem,1025946,https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT,1/1/17
182,Taped up Heart (feat. Clara Mae),KREAM,1023319,https://open.spotify.com/track/26hcyzSE154xMZCbFdtInA,1/1/17
183,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,1022088,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ,1/1/17
184,Wet Dreamz,J. Cole,1017185,https://open.spotify.com/track/6Ius4TC0L3cN74HT7ENE6e,1/1/17
185,Location,Khalid,1013332,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,1/1/17
186,Childs Play,Drake,1011375,https://open.spotify.com/track/3NxAG2ni1lLa8RKL6a0INc,1/1/17
187,Juke Jam (feat. Justin Bieber & Towkio),Chance the Rapper,1003473,https://open.spotify.com/track/3eze1OsZ1rqeXkKStNfTmi,1/1/17
188,Unsteady,X Ambassadors,1001054,https://open.spotify.com/track/7lGKEWMXVWWTt3X71Bv44I,1/1/17
189,Versace on the Floor,Bruno Mars,993041,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,1/1/17
190,Cake - Challenge Version,Flo Rida,992174,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t,1/1/17
191,Let It Go,James Bay,992058,https://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP,1/1/17
192,Ni**as In Paris,JAY-Z,986745,https://open.spotify.com/track/2KpCpk6HjXXLb7nnXoXA5O,1/1/17
193,Look Alive,Rae Sremmurd,985786,https://open.spotify.com/track/2IGr3q6ljcpLvHDFLtI0yW,1/1/17
194,"Castro (feat. Kanye West, Big Sean, Quavo & 2 Chainz)",Yo Gotti,982286,https://open.spotify.com/track/0rHJxNaQRMGK6Y4TUx3xRO,1/1/17
195,"Crazy Brazy (feat. A$AP Rocky, A$AP Twelvyy & Key!)",A$AP Mob,980402,https://open.spotify.com/track/59e7E2LMPZ2bhW5G6aCwX8,1/1/17
196,She's Mine Pt. 2,J. Cole,978401,https://open.spotify.com/track/5rmcjZTrE9JR1YrbNZDFNW,1/1/17
197,Seven Million (feat. Future),Lil Uzi Vert,976118,https://open.spotify.com/track/6j0teRL3WdExzqmy334sh5,1/1/17
198,Miss You,James Hersey,973546,https://open.spotify.com/track/7of1slAJIWrXxP8ikAHxje,1/1/17
199,Hello,Adele,970330,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,1/1/17
200,H.O.L.Y.,Florida Georgia Line,968095,https://open.spotify.com/track/0BCy325UZyR9z0t0uxwn2N,1/1/17
1,Shape of You,Ed Sheeran,10969080,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,1/8/17
2,Bad and Boujee (feat. Lil Uzi Vert),Migos,10112877,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/8/17
3,Fake Love,Drake,8459802,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,1/8/17
4,Castle on the Hill,Ed Sheeran,7600859,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,1/8/17
5,Starboy,The Weeknd,7245714,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/8/17
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,5940766,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,1/8/17
7,Bounce Back,Big Sean,5384798,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,1/8/17
8,Black Beatles,Rae Sremmurd,5319110,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,1/8/17
9,Caroline,Aminé,5264976,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g,1/8/17
10,Closer,The Chainsmokers,5145003,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/8/17
11,Bad Things (with Camila Cabello),Machine Gun Kelly,5104557,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,1/8/17
12,I Feel It Coming,The Weeknd,4710849,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,1/8/17
13,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,4222618,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,1/8/17
14,iSpy (feat. Lil Yachty),KYLE,3932307,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,1/8/17
15,Don't Wanna Know,Maroon 5,3834332,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,1/8/17
16,Say You Won't Let Go,James Arthur,3799130,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,1/8/17
17,X (feat. Future),21 Savage,3715718,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,1/8/17
18,24K Magic,Bruno Mars,3634347,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,1/8/17
19,Deja Vu,J. Cole,3625170,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ,1/8/17
20,No Heart,21 Savage,3523362,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO,1/8/17
21,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,3522587,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp,1/8/17
